trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
75,False,"{'a': 0.9, 'e': 0.4705866415856499}",25,14,11.015763011347644,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.9, 'e': 0.46588077516979337}",30,0,-27.99542105632843,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",0
77,False,"{'a': 0.9, 'e': 0.46122196741809546}",30,15,13.60368371999841,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.9, 'e': 0.4566097477439145}",25,0,-39.51226153719524,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
79,False,"{'a': 0.9, 'e': 0.45204365026647536}",20,6,11.869173254089501,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.9, 'e': 0.4475232137638106}",25,5,7.3540940121066605,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.9, 'e': 0.4430479816261725}",20,0,5.166892801705053,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
82,False,"{'a': 0.9, 'e': 0.43861750180991077}",25,3,-76.21923652474814,"{0: 15, 1: 3, 2: 2, 3: 1, 4: 1}",1
83,False,"{'a': 0.9, 'e': 0.43423132679181164}",30,12,9.207533012935595,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.9, 'e': 0.4298890135238935}",25,0,5.368542174276978,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
85,False,"{'a': 0.9, 'e': 0.4255901233886546}",25,10,-58.69399444686142,"{0: 10, 1: 3, 2: 0, 3: 1, 4: 1}",1
86,False,"{'a': 0.9, 'e': 0.421334222154768}",30,17,-16.893953520088886,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
87,False,"{'a': 0.9, 'e': 0.41712087993322033}",25,13,-57.88779928177659,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
88,False,"{'a': 0.9, 'e': 0.41294967113388814}",20,9,-17.352542968087235,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
89,False,"{'a': 0.9, 'e': 0.40882017442254925}",30,16,1.0956202549384249,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
90,False,"{'a': 0.9, 'e': 0.4047319726783238}",35,24,-44.592277813818164,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
